RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
160,Idekel Domínguez,mx MEX,CC,Atlas,22,2000,0.7,14,13,1,0,0,0,1,1,0,0,0,0,10,0,0,Partidos
161,Juan Domínguez,mx MEX,"DL,CC",Necaxa,23,1998,4.3,126,117,8,3,0,0,5,3,2,0,1,0,94,1,7,Partidos
162,Julio Domínguez,mx MEX,DF,Cruz Azul,34,1987,27.4,1306,1185,117,45,1,5,7,72,0,0,0,0,1127,4,11,Partidos
163,Misael Domínguez,mx MEX,"CC,DL",Tijuana,22,1999,2.2,92,86,5,3,1,0,5,2,0,0,0,0,68,1,0,Partidos
164,Dória,br BRA,DF,Santos,27,1994,14.1,539,497,39,21,0,3,1,16,0,0,0,0,404,3,5,Partidos
165,Jonathan dos Santos,mx MEX,CC,América,32,1990,7.0,500,487,12,9,2,6,3,1,2,1,1,0,448,1,1,Partidos
166,Rodrigo Dourado,br BRA,CC,Atlético,28,1994,24.2,1062,990,69,58,1,16,1,7,0,0,0,0,867,3,16,Partidos
167,Jesús Dueñas,mx MEX,"CC,DL",FC Juárez,33,1989,25.7,1281,1114,164,52,3,23,127,46,65,27,33,0,1016,3,30,Partidos
168,Javier Eduardo López,mx MEX,"CC,DL",Pachuca,27,1994,12.5,469,424,42,8,8,2,29,7,24,15,4,0,361,3,14,Partidos
169,Jorge Eduardo Sánchez,mx MEX,DF,América,24,1997,3.0,162,130,31,3,0,1,11,28,0,0,0,0,131,1,5,Partidos
170,Francisco Eduardo Venegas,mx MEX,"DF,DL",UANL,24,1998,1.2,52,44,8,0,0,1,7,7,1,1,0,0,38,0,2,Partidos
171,Francisco Eduardo Venegas,mx MEX,"DF,CC",Mazatlán,24,1998,10.5,505,440,64,7,2,3,12,57,0,0,0,0,390,1,7,Partidos
172,Alfonso Emilio Sánchez,mx MEX,"CC,DL",Mazatlán,28,1994,7.2,271,262,8,5,0,2,2,1,1,0,0,0,205,1,4,Partidos
173,José Enrique Angulo,ec ECU,DL,Querétaro,27,1995,4.0,77,68,7,0,0,1,5,0,0,0,0,0,43,2,8,Partidos
174,Luis Enrique Quiñones,co COL,"DL,CC",UANL,31,1991,23.3,1078,1001,74,12,3,2,133,33,29,1,8,0,778,3,43,Partidos
175,Carlos Ernesto Cisneros,mx MEX,"DL,DF",Guadalajara,28,1993,19.2,718,660,58,9,1,3,66,46,3,2,0,0,524,0,36,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
176,Kevin Escamilla,mx MEX,CC,Querétaro,28,1994,23.1,850,820,27,14,0,9,11,5,0,0,0,0,710,3,14,Partidos
