RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
1,José Abella,mx MEX,"DF,CC",Atlas,28,1994,28,22,1885,20.9,0,1,1,0,0,0,4,0,0.3,0.3,0.7,1.1,16,81,70,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.05,0.02,0.05,Partidos
2,Clifford Aboagye,gh GHA,CC,Querétaro,27,1995,21,3,583,6.5,1,2,3,1,0,0,1,0,0.4,0.4,0.6,1.0,14,32,28,0.15,0.31,0.46,0.15,0.46,0.06,0.09,0.15,0.06,0.15,Partidos
3,Luis Abram,pe PER,DF,Cruz Azul,26,1996,12,10,902,10.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,15,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
4,Carlos Acevedo,mx MEX,PO,Santos,26,1996,33,33,2970,33.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.03,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Partidos
5,Sergio Adrián Flores,mx MEX,CC,Guadalajara,27,1995,18,11,1009,11.2,2,1,3,2,0,0,2,0,0.9,0.9,0.7,1.6,1,46,9,0.18,0.09,0.27,0.18,0.27,0.08,0.07,0.14,0.08,0.14,Partidos
6,Washington Aguerre,uy URU,PO,Querétaro,29,1993,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
7,Eduardo Águila,mx MEX,DF,Atlético,20,2002,5,2,216,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,Partidos
8,Daniel Aguilar,mx MEX,"DF,CC",Puebla,24,1998,17,6,710,7.9,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.6,11,20,21,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
9,Manuel Aguilar,mx MEX,DF,UANL,19,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
10,Emanuel Aguilera,ar ARG,DF,Atlas,33,1989,15,12,1033,11.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,5,40,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Partidos
11,Eduardo Aguirre,mx MEX,DL,Santos,23,1998,19,15,1145,12.7,3,1,4,2,1,1,0,1,2.2,1.4,0.5,1.9,15,18,64,0.24,0.08,0.31,0.16,0.24,0.17,0.04,0.21,0.11,0.15,Partidos
12,Érick Aguirre,mx MEX,DF,Monterrey,25,1997,22,17,1400,15.6,1,2,3,1,0,0,3,0,1.1,1.1,2.2,3.3,23,47,56,0.06,0.13,0.19,0.06,0.19,0.07,0.14,0.21,0.07,0.21,Partidos
13,Gaddi Aguirre,mx MEX,DF,Atlas,26,1996,20,15,1419,15.8,1,1,2,1,0,0,2,0,1.0,1.0,0.8,1.8,0,45,2,0.06,0.06,0.13,0.06,0.13,0.07,0.05,0.12,0.07,0.12,Partidos
14,Rodrigo Aguirre,uy URU,"DL,CC",Monterrey,27,1994,30,22,2010,22.3,8,4,12,7,1,2,4,0,9.3,7.7,3.8,11.5,31,37,128,0.36,0.18,0.54,0.31,0.49,0.42,0.17,0.59,0.35,0.52,Partidos
15,Manuel Agustín Duarte,ar ARG,CC,Querétaro,20,2001,10,4,417,4.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.3,7,20,14,0.00,0.22,0.22,0.00,0.22,0.09,0.19,0.28,0.09,0.28,Partidos
16,Arnaud Ake,ci CIV,DL,Mazatlán,24,1998,12,8,771,8.6,2,2,4,2,0,0,1,0,2.5,2.5,0.6,3.1,14,13,49,0.23,0.23,0.47,0.23,0.47,0.29,0.07,0.36,0.29,0.36,Partidos
17,Edgar Alaffita,mx MEX,CC,UNAM,25,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,6,8,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16,Partidos
18,Oswaldo Alanís,mx MEX,DF,Mazatlán,33,1989,22,19,1723,19.1,3,0,3,3,0,0,1,0,0.9,0.9,0.0,0.9,6,49,2,0.16,0.00,0.16,0.16,0.16,0.05,0.00,0.05,0.05,0.05,Partidos
19,Jesús Alberto Angulo,mx MEX,DF,UANL,24,1998,32,30,2632,29.2,1,3,4,1,0,0,7,1,0.6,0.6,1.8,2.5,54,208,68,0.03,0.10,0.14,0.03,0.14,0.02,0.06,0.08,0.02,0.08,Partidos
20,Gil Alcalá,mx MEX,PO,Querétaro,30,1992,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
21,Gil Alcalá,mx MEX,PO,UNAM,30,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
22,Adrián Aldrete,mx MEX,DF,UNAM,34,1988,18,18,1437,16.0,1,2,3,1,0,0,3,1,0.3,0.3,0.8,1.1,8,47,29,0.06,0.13,0.19,0.06,0.19,0.02,0.05,0.07,0.02,0.07,Partidos
23,Daniel Alexis Parra,mx MEX,"DF,CC",Necaxa,23,1999,5,1,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,3,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16,Partidos
24,Luis Alfonso Rodríguez,mx MEX,"DF,CC",FC Juárez,31,1991,16,16,1346,15.0,0,0,0,0,0,0,7,0,0.3,0.3,0.2,0.5,30,76,39,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
25,Luis Alfonso Rodríguez,mx MEX,DF,UANL,31,1991,3,0,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,13,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
26,David Alfredo Andrade,mx MEX,"CC,DF",Atlético,29,1993,10,1,276,3.1,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,14,11,27,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Partidos
27,Facundo Almada,ar ARG,DF,Mazatlán,24,1998,14,12,1116,12.4,1,1,2,1,0,0,4,0,0.6,0.6,1.1,1.7,8,45,5,0.08,0.08,0.16,0.08,0.16,0.05,0.09,0.14,0.05,0.14,Partidos
28,Carlos Alonso Vargas,mx MEX,DF,Cruz Azul,23,1999,1,1,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
29,Carlos Alonso Vargas,mx MEX,DF,Mazatlán,23,1999,13,12,930,10.3,0,0,0,0,0,0,6,1,0.4,0.4,0.7,1.0,17,32,18,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Partidos
30,Jozy Altidore,us USA,"DL,CC",Puebla,32,1989,6,0,92,1.0,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,0,1,9,1.96,0.00,1.96,1.96,1.96,0.62,0.00,0.62,0.62,0.62,Partidos
31,Alfonso Alvarado,mx MEX,"DL,CC",León,22,2000,26,6,711,7.9,3,1,4,3,0,0,1,0,2.8,2.8,1.3,4.1,11,18,35,0.38,0.13,0.51,0.38,0.51,0.36,0.16,0.52,0.36,0.52,Partidos
32,Roberto Alvarado,mx MEX,"CC,DL",Guadalajara,23,1998,32,27,2415,26.8,3,3,6,3,0,0,5,0,4.1,4.1,3.2,7.3,81,143,141,0.11,0.11,0.22,0.11,0.22,0.15,0.12,0.27,0.15,0.27,Partidos
33,Ventura Alvarado,us USA,DF,FC Juárez,29,1992,10,5,466,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Partidos
34,Alek Álvarez,mx MEX,"DF,CC",UNAM,19,2003,12,3,477,5.3,0,1,1,0,0,0,0,0,0.0,0.0,1.2,1.2,15,23,13,0.00,0.19,0.19,0.00,0.19,0.00,0.23,0.23,0.00,0.23,Partidos
35,Kevin Álvarez,mx MEX,DF,Pachuca,23,1999,32,32,2822,31.4,3,6,9,3,0,0,8,0,2.2,2.2,4.3,6.5,96,146,177,0.10,0.19,0.29,0.10,0.29,0.07,0.14,0.21,0.07,0.21,Partidos
36,Daniel Álvarez López,mx MEX,"DL,CC",Toluca,28,1994,12,2,279,3.1,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.6,11,10,28,0.32,0.00,0.32,0.32,0.32,0.14,0.05,0.19,0.14,0.19,Partidos
37,Daniel Álvarez López,mx MEX,"CC,DF",Puebla,28,1994,12,1,331,3.7,0,2,2,0,0,0,0,0,0.2,0.2,0.6,0.8,8,14,18,0.00,0.54,0.54,0.00,0.54,0.05,0.17,0.22,0.05,0.22,Partidos
38,Dani Alves,br BRA,"CC,DF",UNAM,39,1983,13,12,1125,12.5,0,5,5,0,0,0,3,0,0.7,0.7,2.8,3.5,16,99,29,0.00,0.40,0.40,0.00,0.40,0.05,0.23,0.28,0.05,0.28,Partidos
39,Fidel Ambríz,mx MEX,"CC,DF",León,19,2003,32,23,2123,23.6,3,0,3,3,0,0,4,1,2.1,2.1,0.4,2.6,18,56,20,0.13,0.00,0.13,0.13,0.13,0.09,0.02,0.11,0.09,0.11,Partidos
40,Esteban Andrada,ar ARG,PO,Monterrey,31,1991,25,25,2249,25.0,0,0,0,0,0,0,2,1,0.0,0.0,0.3,0.3,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
41,Alejandro Andrade,mx MEX,CC,Necaxa,20,2001,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
42,Luis Ángel Malagón,mx MEX,PO,América,25,1997,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
43,Luis Ángel Malagón,mx MEX,PO,Necaxa,25,1997,17,17,1530,17.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
44,Miguel Ángel Ponce,mx MEX,"DF,DL",Guadalajara,33,1989,5,1,125,1.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
45,Brayan Angulo,co COL,DF,Toluca,32,1989,29,24,2069,23.0,1,2,3,1,0,0,6,1,1.3,1.3,2.0,3.3,48,136,89,0.04,0.09,0.13,0.04,0.13,0.05,0.08,0.13,0.05,0.13,Partidos
46,Jesús Angulo,mx MEX,"DF,CC",Guadalajara,25,1997,3,0,29,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,3.10,3.10,0.00,3.10,0.00,0.23,0.23,0.00,0.23,Partidos
47,Jesús Angulo,mx MEX,CC,León,25,1997,7,1,156,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,15,10,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.14,0.07,0.14,Partidos
48,Brayan Angulo Mosquera,co COL,CC,Toluca,29,1993,3,2,211,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Partidos
49,Francisco Antonio Figueroa,mx MEX,"DL,CC",Pachuca,23,1999,10,6,503,5.6,0,2,2,0,0,0,1,0,0.6,0.6,1.3,1.9,44,19,76,0.00,0.36,0.36,0.00,0.36,0.11,0.23,0.34,0.11,0.34,Partidos
50,Francisco Antonio Figueroa,mx MEX,"CC,DL",Querétaro,23,1999,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
51,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,28,1993,19,12,1164,12.9,0,1,1,0,0,0,2,0,0.5,0.5,1.3,1.7,17,47,51,0.00,0.08,0.08,0.00,0.08,0.03,0.10,0.13,0.03,0.13,Partidos
52,José Antonio Rodríguez,mx MEX,PO,Tijuana,30,1992,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
53,José Antonio Rodríguez,mx MEX,PO,Querétaro,30,1992,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
54,Uriel Antuna,mx MEX,"DL,CC",Cruz Azul,24,1997,31,31,2601,28.9,8,4,12,8,0,0,5,0,4.4,4.4,3.3,7.7,76,90,245,0.28,0.14,0.42,0.28,0.42,0.15,0.11,0.27,0.15,0.27,Partidos
55,Javier Aquino,mx MEX,"DF,DL",UANL,32,1990,25,22,1922,21.4,0,2,2,0,0,0,4,0,0.6,0.6,1.4,2.0,68,123,141,0.00,0.09,0.09,0.00,0.09,0.03,0.07,0.09,0.03,0.09,Partidos
56,Pedro Aquino,pe PER,CC,América,27,1995,27,8,835,9.3,0,1,1,0,0,0,7,0,0.2,0.2,1.2,1.4,10,63,8,0.00,0.11,0.11,0.00,0.11,0.02,0.13,0.15,0.02,0.15,Partidos
57,Cristian Arango,co COL,"DL,CC",Pachuca,27,1995,10,4,481,5.3,4,2,6,2,2,2,0,0,3.5,1.9,1.1,3.0,20,10,39,0.75,0.37,1.12,0.37,0.75,0.65,0.20,0.85,0.36,0.56,Partidos
58,Ángelo Araos,cl CHI,CC,Necaxa,25,1997,18,14,937,10.4,1,1,2,1,0,0,4,0,0.9,0.9,0.9,1.8,17,32,46,0.10,0.10,0.19,0.10,0.19,0.09,0.08,0.17,0.09,0.17,Partidos
59,Maximiliano Araújo,uy URU,"CC,DF",Toluca,22,2000,17,17,1454,16.2,6,4,10,6,0,0,4,0,4.4,4.4,2.6,6.9,74,48,153,0.37,0.25,0.62,0.37,0.62,0.27,0.16,0.43,0.27,0.43,Partidos
60,Maximiliano Araújo,uy URU,"CC,DF",Puebla,22,2000,16,16,1316,14.6,1,3,4,1,0,0,4,1,2.2,2.2,2.7,4.9,49,43,108,0.07,0.21,0.27,0.07,0.27,0.15,0.18,0.33,0.15,0.33,Partidos
61,Néstor Araujo,mx MEX,DF,América,30,1991,23,20,1805,20.1,0,1,1,0,0,0,4,0,0.8,0.8,0.9,1.7,28,66,1,0.00,0.05,0.05,0.00,0.05,0.04,0.05,0.09,0.04,0.09,Partidos
62,Fernando Arce Jr.,us USA,CC,FC Juárez,25,1996,11,4,442,4.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,6,11,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
63,Fernando Arce Jr.,us USA,CC,Puebla,25,1996,5,1,116,1.3,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,2,6,4,0.00,0.78,0.78,0.00,0.78,0.07,0.30,0.37,0.07,0.37,Partidos
64,Fernando Aristeguieta,ve VEN,DL,Puebla,30,1992,3,3,250,2.8,1,0,1,1,0,0,2,0,1.1,1.1,0.3,1.4,3,7,9,0.36,0.00,0.36,0.36,0.36,0.40,0.10,0.50,0.40,0.50,Partidos
65,Rodrigo Armando González,mx MEX,DF,Atlético,27,1995,13,12,1091,12.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,3,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Partidos
66,Daniel Armando Ríos,mx MEX,DL,Guadalajara,27,1995,12,6,521,5.8,1,1,2,1,0,0,1,0,1.4,1.4,0.6,2.0,5,4,31,0.17,0.17,0.35,0.17,0.35,0.25,0.10,0.35,0.25,0.35,Partidos
67,Eduardo Armenta,mx MEX,CC,Tijuana,20,2001,10,7,475,5.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,15,15,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.06,0.03,0.06,Partidos
68,Alejandro Arribas,es ESP,DF,FC Juárez,33,1989,26,23,2068,23.0,0,0,0,0,0,0,3,1,0.8,0.8,0.5,1.3,8,45,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Partidos
69,José Ávila,mx MEX,"CC,DF",Santos,24,1998,6,0,74,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,6,7,0.00,1.22,1.22,0.00,1.22,0.03,0.23,0.26,0.03,0.26,Partidos
70,David Ayala,mx MEX,CC,UANL,22,2000,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidos
71,Hugo Ayala,mx MEX,"DF,DL",UANL,35,1987,4,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
72,Ettson Ayon,mx MEX,"DL,CC",Querétaro,21,2001,20,7,708,7.9,4,0,4,4,0,0,2,0,2.8,2.8,0.4,3.2,8,6,43,0.51,0.00,0.51,0.51,0.51,0.36,0.06,0.42,0.36,0.42,Partidos
73,Rafael Baca,mx MEX,CC,Cruz Azul,32,1989,21,9,1018,11.3,1,1,2,1,0,0,3,1,0.3,0.3,0.3,0.6,3,52,9,0.09,0.09,0.18,0.09,0.18,0.02,0.03,0.05,0.02,0.05,Partidos
74,Claudio Baeza,cl CHI,CC,Toluca,28,1993,29,28,2223,24.7,0,2,2,0,0,0,9,1,0.2,0.2,0.3,0.5,14,115,15,0.00,0.08,0.08,0.00,0.08,0.01,0.01,0.02,0.01,0.02,Partidos
75,Kevin Balanta,co COL,DF,Querétaro,25,1997,24,23,2007,22.3,0,0,0,0,0,0,5,1,0.2,0.2,0.4,0.6,11,68,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
76,Carlos Baltazar,mx MEX,CC,Puebla,25,1997,1,0,10,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,1,2,0.00,0.00,0.00,0.00,0.00,1.01,0.00,1.01,1.01,1.01,Partidos
77,Miguel Barbieri,ar ARG,DF,Querétaro,28,1993,15,12,1106,12.3,2,0,2,2,0,0,5,0,1.2,1.2,0.0,1.2,2,28,3,0.16,0.00,0.16,0.16,0.16,0.10,0.00,0.10,0.10,0.10,Partidos
78,David Barbona,ar ARG,"CC,DL",Querétaro,27,1995,10,8,569,6.3,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,21,37,34,0.00,0.00,0.00,0.00,0.00,0.13,0.18,0.31,0.13,0.31,Partidos
79,Diego Barbosa,mx MEX,DF,Atlas,25,1996,25,10,1116,12.4,0,0,0,0,0,0,3,0,0.8,0.8,0.8,1.6,38,32,89,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.13,0.06,0.13,Partidos
80,Marcelo Barovero,ar ARG,PO,Atlético,38,1984,33,33,2937,32.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
81,Martín Barra,mx MEX,"CC,DL",FC Juárez,20,2002,3,0,50,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,3,0.00,1.80,1.80,0.00,1.80,0.00,0.21,0.21,0.00,0.21,Partidos
82,Martín Barragán,mx MEX,DL,Puebla,31,1991,33,27,2331,25.9,11,1,12,8,3,3,5,0,9.4,7.0,1.9,8.9,22,55,116,0.42,0.04,0.46,0.31,0.35,0.36,0.07,0.44,0.27,0.34,Partidos
83,Jaine Barreiro,co COL,DF,León,28,1994,30,29,2478,27.5,0,2,2,0,0,0,9,1,1.4,1.4,0.7,2.1,36,101,17,0.00,0.07,0.07,0.00,0.07,0.05,0.03,0.08,0.05,0.08,Partidos
84,Pablo Barrera,mx MEX,"CC,DL",Querétaro,35,1987,34,33,2875,31.9,3,6,9,2,1,2,6,0,3.1,1.5,7.3,8.8,89,120,202,0.09,0.19,0.28,0.06,0.25,0.10,0.23,0.33,0.05,0.28,Partidos
85,Abraham Bass,mx MEX,CC,Atlas,20,2001,1,1,75,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
86,Damián Batallini,ar ARG,"CC,DL",Necaxa,26,1996,13,8,748,8.3,1,0,1,1,0,0,2,0,1.1,1.1,0.8,1.9,21,25,49,0.12,0.00,0.12,0.12,0.12,0.13,0.10,0.23,0.13,0.23,Partidos
87,Facundo Batista,uy URU,DL,Necaxa,23,1999,28,21,1777,19.7,9,0,9,7,2,2,2,0,7.3,5.8,1.4,7.2,20,29,100,0.46,0.00,0.46,0.35,0.35,0.37,0.07,0.44,0.29,0.36,Partidos
88,Eduard Bello,ve VEN,"DL,CC",Mazatlán,26,1995,24,13,1214,13.5,4,1,5,4,0,0,4,0,1.9,1.9,0.9,2.9,22,37,90,0.30,0.07,0.37,0.30,0.37,0.14,0.07,0.21,0.14,0.21,Partidos
89,Paul Bellón,mx MEX,DF,León,25,1997,27,19,1815,20.2,2,0,2,2,0,0,8,2,1.6,1.6,1.1,2.6,18,51,6,0.10,0.00,0.10,0.10,0.10,0.08,0.05,0.13,0.08,0.13,Partidos
90,Fernando Beltrán,mx MEX,CC,Guadalajara,24,1998,31,29,2436,27.1,3,4,7,3,0,0,6,1,1.7,1.7,1.7,3.4,75,173,101,0.11,0.15,0.26,0.11,0.26,0.06,0.06,0.13,0.06,0.13,Partidos
91,Nicolás Benedetti,co COL,"CC,DL",Mazatlán,25,1997,29,26,2104,23.4,7,5,12,7,0,1,3,1,5.3,4.6,4.4,9.0,99,101,167,0.30,0.21,0.51,0.30,0.51,0.23,0.19,0.42,0.19,0.38,Partidos
92,Pablo Bennevendo Peña,mx MEX,DF,UNAM,22,2000,28,22,2068,23.0,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.4,27,72,45,0.00,0.04,0.04,0.00,0.04,0.00,0.06,0.06,0.00,0.06,Partidos
93,Germán Berterame,ar ARG,"DL,CC",Monterrey,23,1998,31,26,2343,26.0,10,5,15,10,0,1,2,0,10.2,9.4,5.4,14.8,46,68,167,0.38,0.19,0.58,0.38,0.58,0.39,0.21,0.60,0.36,0.57,Partidos
94,Unai Bilbao,es ESP,DF,Atlético,28,1994,15,15,1299,14.4,2,0,2,2,0,0,3,0,1.2,1.2,0.2,1.3,2,33,0,0.14,0.00,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09,Partidos
95,Léo Bonatini,br BRA,DL,Atlético,28,1994,17,12,909,10.1,3,2,5,3,0,1,1,0,4.0,3.2,0.5,3.7,13,18,54,0.30,0.20,0.50,0.30,0.50,0.39,0.05,0.44,0.32,0.37,Partidos
96,Antonio Briseño,mx MEX,DF,Guadalajara,28,1994,10,3,373,4.1,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,2,16,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Partidos
97,Isaác Brizuela,mx MEX,"DL,CC",Guadalajara,31,1990,20,9,812,9.0,1,1,2,1,0,0,1,0,0.3,0.3,1.6,1.9,33,37,70,0.11,0.11,0.22,0.11,0.22,0.04,0.17,0.21,0.04,0.21,Partidos
98,Juan Brunetta,ar ARG,"CC,DL",Santos,25,1997,32,31,2528,28.1,9,7,16,8,1,1,5,0,10.2,9.4,5.8,15.2,116,209,156,0.32,0.25,0.57,0.28,0.53,0.36,0.21,0.57,0.33,0.54,Partidos
99,Gustavo Cabral,ar ARG,DF,Pachuca,36,1985,30,30,2685,29.8,2,1,3,1,1,1,6,0,1.6,0.8,0.3,1.1,8,92,2,0.07,0.03,0.10,0.03,0.07,0.05,0.01,0.06,0.03,0.04,Partidos
100,David Cabrera Pujol,mx MEX,CC,Querétaro,32,1989,2,0,31,0.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
101,Sebastián Cáceres,uy URU,DF,América,22,1999,25,23,2078,23.1,1,1,2,1,0,0,4,0,0.8,0.8,0.3,1.1,11,48,2,0.04,0.04,0.09,0.04,0.09,0.03,0.01,0.05,0.03,0.05,Partidos
102,Jordy Caicedo,ec ECU,"DL,CC",UANL,24,1997,13,4,520,5.8,1,0,1,1,0,0,1,1,1.5,1.5,0.4,1.9,10,8,33,0.17,0.00,0.17,0.17,0.17,0.26,0.07,0.34,0.26,0.34,Partidos
103,José Caicedo,co COL,"CC,DF",UNAM,20,2002,14,11,1017,11.3,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,12,60,1,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Partidos
104,Cristian Calderón,mx MEX,"DF,DL",Guadalajara,25,1997,29,21,1908,21.2,1,1,2,1,0,1,2,0,3.8,3.0,1.9,4.9,23,60,79,0.05,0.05,0.09,0.05,0.09,0.18,0.09,0.27,0.14,0.23,Partidos
105,Luis Calzadilla,mx MEX,CC,Pachuca,22,2000,3,0,29,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.67,0.67,Partidos
